"TOA5","6550","CR6","6550","CR6.Std.13.01","CPU:LabFisAtm2025_v1.CR6","55291","Sonic"
"TIMESTAMP","RECORD","u","v","w","Ts"
"TS","RN","m/s","m/s","m/s","C"
"","","Smp","Smp","Smp","Smp"
"2025-03-27 20:06:47.2",222,0.006233215,0.002679825,0.007295609,22.34532
"2025-03-27 20:06:47.25",223,0.005586624,0.003196716,0.007091522,22.36367
"2025-03-27 20:06:47.3",224,0.003202438,0.002838135,0.008781433,22.34117
"2025-03-27 20:06:47.35",225,0.003498077,0.003061295,0.009353638,22.3967
"2025-03-27 20:06:47.4",226,0.00431633,-5.149841E-05,0.009492874,22.31948
"2025-03-27 20:06:47.45",227,0.006166458,0.002090454,0.01109505,22.31803
"2025-03-27 20:06:47.5",228,0.004060745,0.002138138,0.009357452,22.3181
"2025-03-27 20:06:47.55",229,0.004648209,0.001987457,0.01246834,22.32169
"2025-03-27 20:06:47.6",230,0.006998062,0.002977371,0.01173592,22.34102
"2025-03-27 20:06:47.65",231,0.007299423,0.002876282,0.008424759,22.36629
"2025-03-27 20:06:47.7",232,0.005807877,0.001285553,0.008407593,22.34435
"2025-03-27 20:06:47.75",233,0.004587173,0.00431633,0.01213837,22.32314
"2025-03-27 20:06:47.8",234,0.003950119,0.003805161,0.009943008,22.36607
"2025-03-27 20:06:47.85",235,0.007009506,0.001596451,0.003671646,22.32228
"2025-03-27 20:06:47.9",236,0.008136749,0.003099442,0.00353241,22.32395
"2025-03-27 20:06:47.95",237,0.006355286,0.003330231,0.008642197,22.34464
"2025-03-27 20:06:48",238,0.005468369,-2.861023E-05,0.005582809,22.32211
"2025-03-27 20:06:48.05",239,0.004413605,0.00295639,0.009056091,22.34473
"2025-03-27 20:06:48.1",240,0.004976273,0.002305984,0.008541107,22.34377
"2025-03-27 20:06:48.15",241,0.006546021,0.002300262,0.01059723,22.36913
"2025-03-27 20:06:48.2",242,0.005491257,-0.0004501343,0.003553391,22.32115
"2025-03-27 20:06:48.25",243,0.003984451,0.003065109,0.009664536,22.36718
"2025-03-27 20:06:48.3",244,0.003753662,0.002441406,0.005743027,22.3432
"2025-03-27 20:06:48.35",245,0.004695892,0.002691269,0.004051208,22.321
"2025-03-27 20:06:48.4",246,0.005842209,0.002044678,0.005382538,22.34587
"2025-03-27 20:06:48.45",247,0.005525589,0.002782822,0.006938934,22.32494
"2025-03-27 20:06:48.5",248,0.006658554,0.002426147,0.006872177,22.34784
"2025-03-27 20:06:48.55",249,0.007846832,0.001859665,0.00920105,22.37462
"2025-03-27 20:06:48.6",250,0.008323669,0.001844406,0.009218216,22.32709
"2025-03-27 20:06:48.65",251,0.008707047,0.00157547,0.005157471,22.34697
"2025-03-27 20:06:48.7",252,0.006059647,0.001787186,0.007162094,22.36965
"2025-03-27 20:06:48.75",253,0.004947662,0.001914978,0.009000778,22.32079
"2025-03-27 20:06:48.8",254,0.005525589,0.002698898,0.003408432,22.34346
"2025-03-27 20:06:48.85",255,0.003547668,0.001760483,0.005533218,22.36515
"2025-03-27 20:06:48.9",256,0.002973557,0.002670288,0.009565353,22.35191
"2025-03-27 20:06:48.95",257,0.007148743,0.003412247,0.0057621,22.31986
"2025-03-27 20:06:49",258,0.00702095,0.002752304,0.005788803,22.33915
"2025-03-27 20:06:49.05",259,0.002212524,0.002714157,0.002527237,22.34317
"2025-03-27 20:06:49.1",260,0.0006637573,0.00629425,0.004196167,22.32088
"2025-03-27 20:06:49.15",261,0.005273819,0.0032444,0.007497787,22.31908
"2025-03-27 20:06:49.2",262,0.003055573,0.002464294,0.007415771,22.32048
"2025-03-27 20:06:49.25",263,0.002601624,0.002073288,0.009195328,22.34126
"2025-03-27 20:06:49.3",264,0.005067825,0.002178192,0.01040077,22.31857
"2025-03-27 20:06:49.35",265,0.006166458,0.001529694,0.009994507,22.34326
"2025-03-27 20:06:49.4",266,0.005472183,0.001663208,0.006732941,22.33998
"2025-03-27 20:06:49.45",267,0.003335953,0.004339218,0.003376007,22.36258
"2025-03-27 20:06:49.5",268,0.003156662,0.005195618,0.002086639,22.3189
"2025-03-27 20:06:49.55",269,0.0001945496,0.001766205,0.003068924,22.32219
"2025-03-27 20:06:49.6",270,0.004356384,0.004461288,0.005096436,22.34206
"2025-03-27 20:06:49.65",271,0.006385803,0.001396179,0.005661011,22.3193
"2025-03-27 20:06:49.7",272,0.004825592,0.001760483,0.006345749,22.31336
"2025-03-27 20:06:49.75",273,0.006561279,0.002597809,0.008781433,22.34455
"2025-03-27 20:06:49.8",274,0.007125854,0.00302887,0.006191254,22.34529
"2025-03-27 20:06:49.85",275,0.006427765,0.004552841,0.003229141,22.34422
"2025-03-27 20:06:49.9",276,0.004327774,0.006662369,0.003335953,22.34293
"2025-03-27 20:06:49.95",277,0.002336502,0.003330231,0.005331039,22.31407
"2025-03-27 20:06:50",278,0.007188797,0.003232956,0.006727219,22.31907
"2025-03-27 20:06:50.05",279,0.002590179,0.003480911,0.005365372,22.32112
"2025-03-27 20:06:50.1",280,0.003536224,0.005758286,0.002693176,22.3436
"2025-03-27 20:06:50.15",281,0.002473831,0.002937317,0.002191544,22.34035
"2025-03-27 20:06:50.2",282,0.002710342,0.00321579,0.006496429,22.34252
"2025-03-27 20:06:50.25",283,-0.0009708405,0.001531601,0.00377655,22.31978
"2025-03-27 20:06:50.3",284,0.004106522,0.000951767,0.002851486,22.34001
"2025-03-27 20:06:50.35",285,0.006278992,0.003311157,0.005224228,22.36321
"2025-03-27 20:06:50.4",286,0.005411148,0.0009098053,0.008817673,22.31816
"2025-03-27 20:06:50.45",287,0.004138947,0.001319885,0.003810883,22.34041
"2025-03-27 20:06:50.5",288,0.003463745,0.0005702972,0.006605148,22.36256
"2025-03-27 20:06:50.55",289,0.004159927,0.001403809,0.006156921,22.31922
"2025-03-27 20:06:50.6",290,0.007228851,0.00545311,0.005840302,22.34672
"2025-03-27 20:06:50.65",291,0.008874893,0.004486084,0.008302689,22.34507
"2025-03-27 20:06:50.7",292,0.007072449,0.004358292,0.00853157,22.34713
"2025-03-27 20:06:50.75",293,0.008377075,0.004364014,0.003419876,22.37191
"2025-03-27 20:06:50.8",294,0.003145218,0.004379272,0.003210068,22.34861
"2025-03-27 20:06:50.85",295,0.004402161,0.001893997,0.00201416,22.34648
"2025-03-27 20:06:50.9",296,0.00617218,0.00696373,0.005962372,22.37669
"2025-03-27 20:06:50.95",297,0.001111984,0.004541397,0.004480362,22.31353
"2025-03-27 20:06:51",298,0.0004463196,0.002323151,0.005443573,22.34072
"2025-03-27 20:06:51.05",299,0.004947662,0.004564285,0.005039215,22.33996
"2025-03-27 20:06:51.1",300,0.005981445,0.004095078,0.005605698,22.31746
"2025-03-27 20:06:51.15",301,0.005044937,0.004512787,0.008201599,22.36826
"2025-03-27 20:06:51.2",302,0.002668381,0.003156662,0.005714417,22.36343
"2025-03-27 20:06:51.25",303,0.001899719,0.001140594,0.006147385,22.33957
"2025-03-27 20:06:51.3",304,0.002624512,0.003883362,0.008872986,22.34161
"2025-03-27 20:06:51.35",305,0.006608963,0.0006427765,0.009721756,22.34283
"2025-03-27 20:06:51.4",306,0.00504303,0.0003643036,0.008872986,22.31911
"2025-03-27 20:06:51.45",307,0.00437355,0.003562927,0.00803566,22.36412
"2025-03-27 20:06:51.5",308,0.005741119,0.004489899,0.003084183,22.3659
"2025-03-27 20:06:51.55",309,0.00532341,0.000749588,0.003728867,22.32187
"2025-03-27 20:06:51.6",310,0.004764557,0.003520966,0.00607872,22.36535
"2025-03-27 20:06:51.65",311,0.001764297,0.001447678,0.007722855,22.31874
"2025-03-27 20:06:51.7",312,0.004707336,0.001506805,0.008270264,22.31984
"2025-03-27 20:06:51.75",313,0.005971909,0.0009727478,0.006568909,22.34165
"2025-03-27 20:06:51.8",314,0.004587173,0.003910065,0.002571106,22.34138
"2025-03-27 20:06:51.85",315,0.002601624,0.004133224,0.010252,22.34155
"2025-03-27 20:06:51.9",316,0.001079559,0.004758835,0.007753372,22.32058
"2025-03-27 20:06:51.95",317,0.003713608,0.004405975,0.008234024,22.36309
"2025-03-27 20:06:52",318,0.003353119,0.004541397,0.005374908,22.31959
"2025-03-27 20:06:52.05",319,0.005844116,0.00592804,0.00393486,22.36345
"2025-03-27 20:06:52.1",320,0.005897522,0.005477905,0.008325577,22.36139
"2025-03-27 20:06:52.15",321,0.003702164,0.002552032,0.007642746,22.31941
"2025-03-27 20:06:52.2",322,0.003307343,0.002687454,0.00759697,22.36191
