Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
25.47,0.48,26.9,24.38
25.44,0.48,26.89,24.38
25.44,0.47,26.83,24.29
25.42,0.47,26.84,24.34
25.41,0.46,26.75,24.25
25.4,0.44,26.7,24.38
25.39,0.4,26.5,24.23
25.45,0.39,26.47,24.46
25.44,0.41,26.57,24.46
25.44,0.38,26.5,24.5
25.51,0.36,26.4,24.47
25.52,0.35,26.46,24.53
25.47,0.34,26.38,24.49
25.46,0.33,26.16,24.47
25.41,0.31,26.11,24.49
25.38,0.32,26.36,24.46
25.4,0.38,26.89,24.43
25.36,0.35,26.59,24.46
25.34,0.31,26.36,24.49
25.34,0.33,26.56,24.43
25.36,0.34,26.49,24.52
25.29,0.32,26.25,24.26
25.29,0.3,26.11,24.32
25.27,0.27,25.99,24.36
25.28,0.28,26.0,24.3
25.3,0.3,26.1,24.41
25.3,0.3,26.23,24.29
25.33,0.31,26.21,24.38
25.38,0.37,26.59,24.41
25.38,0.36,26.4,24.38
25.35,0.32,26.19,24.47
25.34,0.32,26.18,24.38
25.3,0.31,26.07,24.41
25.26,0.29,25.96,24.39
25.23,0.27,25.91,24.38
25.23,0.26,25.91,24.43
25.22,0.27,25.94,24.44
25.14,0.27,25.84,24.41
25.13,0.28,25.78,24.36
25.21,0.31,25.98,24.35
25.2,0.29,25.94,24.35
25.19,0.26,25.9,24.4
25.19,0.27,25.85,24.09
25.19,0.27,25.86,24.31
25.16,0.29,25.91,24.41
25.13,0.29,25.9,24.3
25.14,0.29,25.91,24.34
25.15,0.29,25.88,24.35
25.17,0.31,25.92,24.42
25.23,0.32,25.99,24.48
25.23,0.31,26.03,24.47
25.22,0.31,26.16,24.47
25.24,0.37,26.41,24.35
25.27,0.35,26.35,24.48
25.31,0.33,26.31,24.35
25.3,0.3,26.11,24.56
25.28,0.31,26.12,24.5
25.28,0.3,25.98,24.52
25.31,0.4,26.64,24.46
25.28,0.41,26.53,24.42
25.27,0.39,26.44,24.35
25.23,0.37,26.26,24.45
25.21,0.36,26.15,24.32
25.24,0.4,26.33,24.08
25.25,0.4,26.28,24.43
25.28,0.37,26.22,24.38
25.31,0.36,26.17,24.56
25.3,0.37,26.16,24.46
25.28,0.35,26.12,24.5
25.25,0.35,26.23,24.44
25.22,0.36,26.22,24.43
25.26,0.37,26.22,24.42
25.23,0.35,26.11,24.37
25.21,0.34,26.03,24.34
25.19,0.32,25.96,24.29
25.18,0.31,25.89,24.26
25.18,0.3,25.88,24.27
25.15,0.28,25.74,24.3
25.13,0.26,25.75,24.33
25.1,0.26,25.68,24.34
25.09,0.25,25.6,24.32
